MeoDemoSat.UTCGregorian,MeoDemoSat.ElapsedSecs,MeoDemoSat.Earth.Latitude,MeoDemoSat.Earth.Longitude,MeoDemoSat.Earth.Altitude
09 Jan 2026 20:59:14.138,766754.1380743962,9.740492547850987,-85.6134069846028,902.4161492985413
09 Jan 2026 21:02:14.408,766934.40821314,18.78968180863274,-80.75946187021884,916.7241921781715
09 Jan 2026 21:05:15.193,767115.1928595034,27.6347051342555,-75.28608442472404,932.7187137425153
09 Jan 2026 21:08:16.578,767296.5782962739,36.1350539000261,-68.75113757116486,949.6709010597815
09 Jan 2026 21:11:18.609,767478.6089210305,44.07155800962183,-60.52345312350614,966.7767652170778
09 Jan 2026 21:14:21.287,767661.2873228383,51.0809281657878,-49.72079199472537,983.2141837505969
09 Jan 2026 21:17:24.594,767844.5938915014,56.56754580257597,-35.35266688631536,998.2054477883275
09 Jan 2026 21:20:28.495,768028.4949144814,59.69176411548072,-17.1736635071952,1011.074232435336
09 Jan 2026 21:23:32.932,768212.9319044296,59.71418517157969,2.824753325907228,1021.289695555541
09 Jan 2026 21:26:37.814,768397.8144716355,56.62927953703712,21.04180181438899,1028.496193256543
09 Jan 2026 21:29:43.031,768583.0308346194,51.17202936708522,35.45135641588409,1032.527242583762
09 Jan 2026 21:32:48.463,768768.4629792231,44.1854359976233,46.27933757860036,1033.401658747543
09 Jan 2026 21:35:53.992,768953.99199893,36.26903397375153,54.51542910684337,1031.302917842443
09 Jan 2026 21:38:59.499,769139.4990614033,27.78835423622122,61.04572939817934,1026.545751314512
09 Jan 2026 21:42:04.874,769324.8735798988,18.96407851739437,66.50439342516577,1019.534063494017
09 Jan 2026 21:45:10.024,769510.0239608553,9.937762804895129,71.33524405801967,1010.71452729579
09 Jan 2026 21:48:14.878,769694.877628726,0.8107319899423961,75.86951700153794,1000.532012348305
09 Jan 2026 21:51:19.371,769879.3710729922,-8.332312787543732,80.38646583470006,989.3935351072232
09 Jan 2026 21:54:23.447,770063.446726324,-17.40685245875717,85.16238101911911,977.6453388199443
09 Jan 2026 21:57:27.064,770247.0641126158,-26.31322824999776,90.51942390491104,965.5649596881349
09 Jan 2026 22:00:30.209,770430.2091898746,-34.9152043527659,96.88582998599011,953.3680045503606
09 Jan 2026 22:03:32.884,770612.8841360332,-43.00260327384701,104.8749093258987,941.2272749877866
09 Jan 2026 22:06:35.087,770795.0874401489,-50.22629652030923,115.3594750781807,929.2996587278203
09 Jan 2026 22:09:36.812,770976.8124395516,-56.00514374671255,129.3776105423997,917.7548619594372
09 Jan 2026 22:12:38.067,771158.0674068653,-59.48936330963239,147.3693636538367,906.8004977099836
09 Jan 2026 22:15:38.886,771338.8855661731,-59.86229267044751,167.5940350392801,896.6993505461905
09 Jan 2026 22:18:39.307,771519.3068982102,-57.01364184503238,-173.6444672864049,887.7751627210664
09 Jan 2026 22:21:39.362,771699.3624459836,-51.65562007914223,-158.701659265075,880.4036703386937
09 Jan 2026 22:24:39.092,771879.0922728949,-44.67621500096056,-147.4920638453337,874.9888493952421
09 Jan 2026 22:27:38.573,772058.5725006647,-36.72081073447038,-139.0069431961445,871.9283798762654
09 Jan 2026 22:30:37.907,772237.9067289876,-28.18301267851633,-132.3138778056762,871.5722057277662
09 Jan 2026 22:33:37.195,772417.1950698481,-19.29988250478422,-126.7461538466315,874.176815464758
09 Jan 2026 22:36:36.531,772596.5308452607,-10.22362915548681,-121.8417058585797,879.8621119089003
09 Jan 2026 22:39:36.026,772776.0262424941,-1.061816944460802,-117.2597882917629,888.5806860638731
