MeoDemoSat.UTCGregorian,MeoDemoSat.ElapsedSecs,MeoDemoSat.EarthMJ2000Eq.X,MeoDemoSat.EarthMJ2000Eq.Y,MeoDemoSat.EarthMJ2000Eq.Z,MeoDemoSat.EarthMJ2000Eq.VX,MeoDemoSat.EarthMJ2000Eq.VY,MeoDemoSat.EarthMJ2000Eq.VZ,MeoDemoSat.Earth.SMA,MeoDemoSat.Earth.ECC,MeoDemoSat.EarthMJ2000Eq.INC,MeoDemoSat.EarthMJ2000Eq.RAAN,MeoDemoSat.EarthMJ2000Eq.AOP,MeoDemoSat.Earth.TA
06 Jan 2026 18:42:50.873,499370.8730085287,5325.167972890857,1260.622449423235,4883.296328883968,-4.619147350519091,3.987205326756583,4.123582424207348,7319.759567187994,0.01065450315579923,59.93948311914453,342.2232435562562,308.8832049299685,101.4060109802756
06 Jan 2026 18:45:53.503,499553.5032236134,4397.134765837772,1963.639702099655,5550.226846915116,-5.514451113870057,3.690387150480783,3.160589649011541,7317.506141512264,0.01085522347407004,59.93432326546175,342.2145231100273,307.4941592976687,113.2852798073914
06 Jan 2026 18:48:56.779,499736.7786860908,3318.448829145207,2603.321239806115,6033.03028634828,-6.223101952265325,3.271034993506876,2.09428931576289,7315.730566756351,0.01114065997514191,59.93022992785237,342.2038531860441,306.8538858030212,124.4139202658956
06 Jan 2026 18:52:00.657,499920.656779327,2124.910218053504,3157.776401747121,6314.557153790944,-6.721941921988109,2.743204962663732,0.9601922130141984,7314.65417920474,0.01142611381262784,59.92773372791547,342.1917935171947,307.0583887561341,134.6964475097377
06 Jan 2026 18:55:05.072,500105.0718107843,856.5570709235901,3607.831207947129,6384.395364804725,-6.994702883738517,2.124431014986303,-0.2040979518619104,7314.408095822456,0.01163106284003524,59.92715864467179,342.1790891968974,307.9672759866447,144.2736585745024
06 Jan 2026 18:58:09.940,500289.9400857976,-443.6858542314714,3937.751804332554,6239.348324983132,-7.032469438003364,1.435155648213478,-1.360073621976613,7315.022056423936,0.01169900323477326,59.92857714745534,342.1665745426385,309.2955034580794,153.4310683795644
06 Jan 2026 19:01:15.158,500475.1578418538,-1731.452844320706,4135.84669016754,5883.662383163133,-6.833933776985717,0.6981168494692052,-2.469473395594311,7316.418261437158,0.011608608664188,59.93179597602063,342.1550696337842,310.6911926092358,162.5208233038799
06 Jan 2026 19:04:20.603,500660.6029937044,-2962.506228931506,4194.956458255254,5329.002483583506,-6.405483714974016,-0.06232940219288327,-3.495451806471974,7318.416683962343,0.01137792307718327,59.93637562281164,342.1452682491375,311.7950641689857,171.9021785274063
06 Jan 2026 19:07:26.148,500846.1477841716,-4094.419657265962,4112.78302312812,4594.101108869523,-5.761061737503542,-0.8209872383391345,-4.403796535371064,7320.75872597502,0.01106119036647255,59.94169250243049,342.1376291349225,312.3020212103878,181.8804101869404
06 Jan 2026 19:10:31.673,501031.6729952465,-5088.207063430846,3891.993181947086,3704.062226179057,-4.921740816712734,-1.552653399637284,-5.164084077883185,7323.143154942391,0.01073768682021048,59.94703562085103,342.1323069263715,312.0400899625762,192.6284248691979
