TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.Earth.Latitude,TargetSat.Earth.Longitude,TargetSat.Earth.Altitude
01 Jan 2026 01:09:17.403,4157.402658741921,-18.49757857326021,-109.8612601662068,302.1368321546324
01 Jan 2026 01:10:46.571,4246.571226208471,-16.98246516844783,-104.2365208153595,301.8108151463775
01 Jan 2026 01:12:15.740,4335.740487696603,-15.29466735510168,-98.71192978183629,301.476769477641
01 Jan 2026 01:13:44.909,4424.909360683523,-13.45471212006558,-93.2845315184275,301.1488672002351
01 Jan 2026 01:15:14.078,4514.078319165856,-11.48367422700715,-87.94748062515322,300.8410201229917
01 Jan 2026 01:16:43.247,4603.247012046631,-9.402909223968409,-82.69080045210917,300.5662973550488
01 Jan 2026 01:18:12.416,4692.416179238353,-7.233797999054454,-77.50189230809963,300.3363631598586
01 Jan 2026 01:19:41.586,4781.585916609038,-4.997662673405639,-72.36623145676157,300.1609858262746
01 Jan 2026 01:21:10.755,4870.755315769929,-2.715728425550138,-67.26792747813046,300.0476194305775
01 Jan 2026 01:22:39.924,4959.924095089082,-0.4090874048624501,-62.19011865147714,300.0010813290455
01 Jan 2026 01:24:09.093,5049.092521425337,1.901258147922859,-57.11542195258655,300.023348319397
01 Jan 2026 01:25:38.261,5138.261436216999,4.194333198187557,-52.02634910375178,300.1134743078092
01 Jan 2026 01:27:07.430,5227.430376783013,6.449074557774825,-46.90582672324398,300.2676289234487
01 Jan 2026 01:28:36.599,5316.599308862351,8.644323798193842,-41.7375302672202,300.47926137581
01 Jan 2026 01:30:05.768,5405.768189078663,10.75879545545986,-36.50637972799607,300.7393804275389
01 Jan 2026 01:31:34.937,5494.937096012291,12.7711087447769,-31.19905456988057,301.0369387037099
01 Jan 2026 01:33:04.106,5584.106297465041,14.65988410013389,-25.80456540990243,301.3593041804397
01 Jan 2026 01:34:33.275,5673.275425680913,16.40390563928953,-20.31492066881454,301.6927948813009
01 Jan 2026 01:36:02.444,5762.443911423907,17.98241057193925,-14.72572459490174,302.023261928638
01 Jan 2026 01:37:31.613,5851.61267031217,19.37549594058937,-9.036640072166861,302.33669639237
01 Jan 2026 01:39:00.781,5940.781352506019,20.56454581790543,-3.25199883341654,302.6198125286255
01 Jan 2026 01:40:29.951,6029.950558044948,21.5328221676526,2.619124677696788,302.8606171044285
01 Jan 2026 01:41:59.120,6119.119754782878,22.26603511898146,8.562879249881261,303.0489095598659
01 Jan 2026 01:43:28.289,6208.288801589515,22.75295051908156,14.56121912344221,303.1767172686614
01 Jan 2026 01:44:57.458,6297.457635600585,22.98589761590387,20.5927677559239,303.2386301597335
01 Jan 2026 01:46:26.627,6386.62700552959,22.96114435170378,26.63410377749264,303.2320278045263
01 Jan 2026 01:47:55.796,6475.795650004875,22.67909048887934,32.6610433199004,303.1571899607834
01 Jan 2026 01:49:24.966,6564.965637889691,22.14423594890175,38.65054731272493,303.0172819628378
01 Jan 2026 01:50:54.134,6654.134461213835,21.36498413083909,44.58162856192849,302.8182303072763
01 Jan 2026 01:52:23.303,6743.302901065908,20.35319547394245,50.43705720175849,302.5684631410786
01 Jan 2026 01:53:52.472,6832.472087745555,19.12365653263954,56.20396674428604,302.2785560128059
01 Jan 2026 01:55:21.642,6921.641912811901,17.69351181458039,61.8741580939289,301.9607919840009
01 Jan 2026 01:56:50.811,7010.811190330423,16.08168263666586,67.44415075832528,301.6286444376883
01 Jan 2026 01:58:19.981,7099.98075356707,14.30826935972001,72.91511298400401,301.2961953405966
01 Jan 2026 01:59:49.150,7189.150296687149,12.39414456477438,78.2921911460335,300.9775497315022
01 Jan 2026 02:01:18.319,7278.319263656158,10.36058162650224,83.58398238367639,300.6862333887966
01 Jan 2026 02:02:47.488,7367.487904988229,8.228972224799829,88.80197198137246,300.4346139811332
01 Jan 2026 02:04:16.657,7456.656862841919,6.020669975811704,93.95989531325884,300.2333769714423
01 Jan 2026 02:05:45.826,7545.82591499202,3.756940490374888,99.0730990213689,300.091073085312
01 Jan 2026 02:07:14.995,7634.995047922712,1.45891838035296,104.1580921517806,300.0137499025777
01 Jan 2026 02:08:44.164,7724.163933168165,-0.8523516847861362,109.232053694509,300.0046939279173
01 Jan 2026 02:10:13.333,7813.332715630531,-3.155879469428492,114.3124502942035,300.0642896569198
01 Jan 2026 02:11:42.501,7902.501479862258,-5.430648442572301,119.4165931324427,300.1900039888196
