TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.EarthMJ2000Eq.X,TargetSat.EarthMJ2000Eq.Y,TargetSat.EarthMJ2000Eq.Z,TargetSat.EarthMJ2000Eq.VX,TargetSat.EarthMJ2000Eq.VY,TargetSat.EarthMJ2000Eq.VZ,TargetSat.Earth.SMA,TargetSat.Earth.ECC,TargetSat.EarthMJ2000Eq.INC,TargetSat.EarthMJ2000Eq.RAAN,TargetSat.EarthMJ2000Eq.AOP,TargetSat.Earth.TA
02 Jan 2026 19:17:08.535,155828.5348734003,-40891.76312920602,-7581.344674929964,6942.919238767603,0.6149937901492775,-2.99146656373526,0.3555912468778484,42164.16967811091,5.30082275995297e-10,11.60833458607549,136.1446280400469,251.4667073130393,163.45089452088
02 Jan 2026 19:22:08.535,156128.5348734353,-40697.49521886815,-8476.899016696054,7047.926818113512,0.6800739607557256,-2.978657607504375,0.344431363006544,42164.16967811088,5.300826690426735e-10,11.60833458607549,136.144628040047,251.4667022597364,164.7043219571613
02 Jan 2026 19:27:08.535,156428.5348734702,-40483.75129858487,-9368.396691862208,7149.561573356469,0.7448286782310584,-2.9644231983096,0.3331066496141316,42164.16967811092,5.300819988618986e-10,11.60833458607549,136.1446280400469,251.4667245395699,165.9577220602987
02 Jan 2026 19:32:08.535,156728.5348735051,-40250.63365668381,-10255.41106931777,7247.774866625959,0.8092269538494933,-2.948770148105678,0.3216225262044218,42164.16967811088,5.300823547786361e-10,11.60833458607549,136.1446280400469,251.4667155499329,167.2111534328996
02 Jan 2026 19:37:08.535,157028.53487354,-39998.25385289351,-11137.51766345884,7342.519697410891,0.8732379694624572,-2.931705947745801,0.3099844885677651,42164.16967811092,5.300818767193055e-10,11.60833458607549,136.1446280400469,251.4667190627106,168.4645723030791
02 Jan 2026 19:42:08.535,157328.534873575,-39726.73266495587,-12014.29433732819,7433.750725051957,0.9368310922467804,-2.913238763396814,0.2981981061510097,42164.16967811092,5.300819225532503e-10,11.60833458607549,136.1446280400469,251.4667203030918,169.7179934456494
02 Jan 2026 19:47:08.535,157628.5348736099,-39436.20003082733,-12885.32150463122,7521.424290439641,0.9999758893642025,-2.893377432631262,0.2862690193922134,42164.16967811091,5.300820333642544e-10,11.60833458607549,136.1446280400469,251.4667226508249,170.9714134808627
02 Jan 2026 19:52:08.535,157928.5348733305,-39126.79498649639,-13750.1823305313,7605.498436907536,1.062642142525174,-2.872131460198105,0.2742029370213804,42164.16967811091,5.300820043139279e-10,11.60833458607549,136.1446280400469,251.4667220773825,172.2248364372469
02 Jan 2026 19:57:08.535,158228.5348733654,-38798.66559944709,-14608.46293112835,7685.932930310933,1.124799862449983,-2.849511013474186,0.262005633328517,42164.16967811091,5.300819141916546e-10,11.60833458607549,136.1446280400469,251.4667338052569,173.4782470923104
02 Jan 2026 20:02:08.535,158528.5348734003,-38451.96889780056,-15459.75257152525,7762.689278281091,1.186419303220294,-2.825526917598562,0.2496829454003141,42164.16967811091,5.300820400589157e-10,11.60833458607549,136.1446280400469,251.4667203929276,174.7316828875741
02 Jan 2026 20:07:08.535,158828.5348734353,-38086.87079516831,-16303.64386238731,7835.730748645973,1.247470976514217,-2.800190650292087,0.2372407703267768,42164.16967811092,5.300818565909603e-10,11.60833458607549,136.1446280400469,251.4667119627264,175.9851137007073
02 Jan 2026 20:12:08.535,159128.5348734702,-37703.54601125339,-17139.73295490066,7905.022387008632,1.307925665718104,-2.773514336364673,0.2246850623791398,42164.16967811092,5.30081812027171e-10,11.60833458607549,136.1446280400469,251.4667091359584,177.2385389104049
02 Jan 2026 20:17:08.535,159428.5348735051,-37302.17798823733,-17967.6197340363,7970.531033474819,1.367754439908326,-2.745510741912907,0.2120218301604181,42164.16967811093,5.300818452506421e-10,11.60833458607549,136.1446280400469,251.4666738818558,178.4919965474362
02 Jan 2026 20:22:08.535,159728.53487354,-36882.95880299281,-18786.90801002737,8032.225338521846,1.426928667696318,-2.716193268210756,0.1992571337299571,42164.16967811091,5.300821854715902e-10,11.60833458607549,136.1446280400469,251.4666779808375,179.7454148313805
02 Jan 2026 20:27:08.535,160028.534873575,-36446.08907516429,-19597.20570796791,8090.075778001061,1.485420030930293,-2.685575945296322,0.1863970817033582,42164.16967811088,5.300827134005081e-10,11.60833458607549,136.1446280400469,251.4666781007174,180.9988370944296
02 Jan 2026 20:32:08.535,160328.5348736099,-35991.77787116037,-20398.1250554425,8144.054667266802,1.543200538247047,-2.653673425257685,0.1734478283291668,42164.1696781109,5.300826463394395e-10,11.60833458607549,136.144628040047,251.4666678853961,182.2522696926791
02 Jan 2026 20:37:08.535,160628.5348733305,-35520.24260410383,-21189.28276809684,8194.136174425023,1.600242538467376,-2.620500975221068,0.1604155705437231,42164.16967811091,5.300821886820662e-10,11.60833458607549,136.144628040047,251.4666816981405,183.5056782628638
02 Jan 2026 20:42:08.535,160928.5348733654,-35031.70892978751,-21970.30023306061,8240.296332695301,1.656518733828707,-2.586074470044667,0.1473065450055843,42164.16967811092,5.300822007660439e-10,11.60833458607549,136.144628040047,251.4666867423655,184.7590956015698
02 Jan 2026 20:47:08.535,161228.5348734003,-34526.4106386854,-22740.8036901347,8282.513051880267,1.712002193048585,-2.550410384721653,0.1341270251109373,42164.16967811093,5.300820887237594e-10,11.60833458607552,136.144628040047,251.4666937052272,186.0125110216416
02 Jan 2026 20:52:08.535,161528.5348734353,-34004.58954407094,-23500.42441065628,8320.766128936984,1.76666636421279,-2.513525786495977,0.1208833179914305,42164.16967811096,5.300815522729944e-10,11.60833458607552,136.1446280400469,251.4666708193797,187.2659562904254
