TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.EarthFixed.X,TargetSat.EarthFixed.Y,TargetSat.EarthFixed.Z,TargetSat.EarthFixed.VX,TargetSat.EarthFixed.VY,TargetSat.EarthFixed.VZ,TargetSat.Earth.SMA,TargetSat.Earth.ECC,TargetSat.EarthMJ2000Eq.INC,TargetSat.EarthMJ2000Eq.RAAN,TargetSat.EarthMJ2000Eq.AOP,TargetSat.Earth.TA
02 Jan 2026 01:47:08.535,92828.5348736099,-39474.95417226541,14251.46977938128,4054.726524592592,-0.03744975658042815,0.04915759511585849,-0.5373717464060973,42164.169678111,5.300819021642753e-10,11.60833458607549,136.1446280400469,251.4669697484394,260.2319313144885
02 Jan 2026 01:52:08.535,93128.5348733305,-39485.8629482047,14266.45809877193,3892.557703513105,-0.03526385665382659,0.05074854900762071,-0.5437108677673222,42164.169678111,5.300819162150447e-10,11.60833458607549,136.1446280400469,251.4669636387708,261.4853598082023
02 Jan 2026 01:57:08.535,93428.53487336542,-39496.10572360626,14281.90920889783,3728.526103070174,-0.03301046268610808,0.05224237132641285,-0.5497897935750138,42164.16967811104,5.300818482950315e-10,11.60833458607545,136.1446280400469,251.4668745406059,262.7388712904411
02 Jan 2026 02:02:08.535,93728.53487340035,-39505.66289442239,14297.79353579936,3562.710221406783,-0.03069388766127923,0.05363620292561411,-0.5556056147337957,42164.16967811105,5.300818039246786e-10,11.60833458607545,136.1446280400469,251.4668595009495,263.9923087142004
02 Jan 2026 02:07:08.535,94028.53487343527,-39514.5161685225,14314.08067725196,3395.189410541235,-0.0283185654898781,0.0549273760403004,-0.5611555480581307,42164.16967811105,5.300819875599007e-10,11.60833458607545,136.1446280400469,251.466868672629,265.2457219266526
02 Jan 2026 02:12:08.535,94328.5348734702,-39522.64860103075,14330.73946005015,3226.043838392864,-0.02588904252363466,0.05611341939244374,-0.5664369376042223,42164.16967811101,5.300818987172587e-10,11.60833458607545,136.1446280400469,251.466918998521,266.4990939849213
02 Jan 2026 02:17:08.535,94628.53487350512,-39530.044626756,14347.73799967942,3055.354450417395,-0.02340996885377011,0.05719206292091616,-0.5714472559410275,42164.16967811104,5.3008205965939e-10,11.60833458607549,136.1446280400469,251.4669156333344,267.7525197342976
02 Jan 2026 02:22:08.535,94928.53487354005,-39536.69008998721,14365.04376133135,2883.202930870125,-0.02088608941078651,0.0581612421263431,-0.5761841053597671,42164.16967811104,5.300818265534593e-10,11.60833458607549,136.1446280400469,251.4668922844376,269.005965467413
02 Jan 2026 02:27:08.535,95228.53487357497,-39542.57227158135,14382.62362219179,2709.671663715581,-0.01832223488266926,0.05901910202253902,-0.5806452190213605,42164.16967811103,5.300816378922997e-10,11.60833458607549,136.1446280400469,251.4669170345331,270.2593631015654
02 Jan 2026 02:32:08.535,95528.5348736099,-39547.67991331313,14400.44393482166,2534.84369320233,-0.01572331246901992,0.05976400068691223,-0.5848284620412288,42164.16967811104,5.300817240883838e-10,11.60833458607549,136.1446280400469,251.4669191060247,271.5127834143507
